competition_name,season_name,competition_short,tournament_id,team,player,position,position_x,position_y,starts,jersey_number,position_order,position_group,general_role,offensive_role,defensive_role,importance_score,importance_tier,strengths,weaknesses,best_role_fits,best_role_fit_scores,role_adjusted_importance_score,xi_number,xi_label,xi_role_label,starts_share
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Baghdad Bounedjah,Center Forward,105.0,40.0,3,9,23,Forward,Box Threat,Finisher / Shot Threat,Balanced Defensive Role,53.12,Rotation / Contributor,"['Strong xG generation', 'High shot volume']",['No clear major weakness from selected indicators'],"Box Threat, Pressing Player, Balanced Role","98.2, 79.2, 54.5",53.12,11,11. Baghdad Bounedjah | Center Forward,Box Threat | Rotation / Contributor,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Adilson Cipriano da Cruz,Goalkeeper,8.0,40.0,1,22,1,Goalkeeper,Goalkeeper,Build-Up Goalkeeper,Goal Prevention,43.43,Low Usage / Limited Impact,['Active in recoveries'],"['Low clearance activity', 'Limited shot-stopping event volume']","Ball Winner, Tempo Controller, Balanced Role","65.7, 53.8, 37.0",43.43,1,1. Adilson Cipriano da Cruz | Goalkeeper,Goalkeeper | Low Usage / Limited Impact,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Jonathan Buatu Mananga,Right Center Back,25.0,52.0,1,3,3,Defender,Pressing Player,Balanced Offensive Role,Pressing Specialist,54.22,Rotation / Contributor,"['High pressing activity', 'Strong ball-winning activity']",['No clear major weakness from selected indicators'],"Pressing Player, Ball Winner, Balanced Role","83.1, 77.9, 59.7",54.22,2,2. Jonathan Buatu Mananga | Right Center Back,Pressing Player | Rotation / Contributor,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Kialonda Gaspar,Center Back,25.0,40.0,1,6,4,Defender,Balanced Role,Balanced Offensive Role,Balanced Defensive Role,39.4,Low Usage / Limited Impact,['Balanced profile without one dominant strength'],['Low pressing activity'],"Box Threat, Tempo Controller, Progressive Carrier","59.2, 55.8, 43.4",39.4,3,3. Kialonda Gaspar | Center Back,Balanced Role | Low Usage / Limited Impact,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Joaquim Marcos Cunga Balanga,Left Center Back,25.0,28.0,1,5,5,Defender,Balanced Role,Balanced Offensive Role,Balanced Defensive Role,43.41,Low Usage / Limited Impact,['Balanced profile without one dominant strength'],['Low pressing activity'],"Progressive Carrier, Tempo Controller, Balanced Role","61.6, 58.3, 36.1",43.41,4,4. Joaquim Marcos Cunga Balanga | Left Center Back,Balanced Role | Low Usage / Limited Impact,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Loide António Augusto,Right Wing Back,38.0,70.0,1,14,7,Defender,Pressing Player,Balanced Offensive Role,Pressing Specialist,69.84,Important Player,['High pressing activity'],['No clear major weakness from selected indicators'],"Pressing Player, Balanced Role, Progressive Carrier","90.9, 69.8, 69.4",69.84,5,5. Loide António Augusto | Right Wing Back,Pressing Player | Important Player,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Núrio Domingos Matias Fortuna,Left Wing Back,38.0,10.0,1,2,8,Defender,Pressing Player,Balanced Offensive Role,Pressing Specialist,58.95,Rotation / Contributor,"['High pressing activity', 'Strong ball-winning activity']",['No clear major weakness from selected indicators'],"Pressing Player, Ball Winner, Balanced Role","95.3, 95.0, 65.3",58.95,6,6. Núrio Domingos Matias Fortuna | Left Wing Back,Pressing Player | Rotation / Contributor,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Manuel Luís da Silva Cafumana,Center Defensive Midfield,45.0,40.0,1,23,10,Midfielder,Pressing Player,Balanced Offensive Role,Pressing Specialist,66.72,Important Player,"['High pressing activity', 'Strong ball-winning activity']",['No clear major weakness from selected indicators'],"Pressing Player, Ball Winner, Balanced Role","97.8, 85.7, 71.5",66.72,7,7. Manuel Luís da Silva Cafumana | Center Defensive Midfield,Pressing Player | Important Player,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Alfredo Kulembe Ribeiro,Right Center Midfield,60.0,52.0,1,16,12,Midfielder,Pressing Player,Finisher / Shot Threat,Pressing Specialist,79.41,Important Player,"['Strong xG generation', 'High pressing activity', 'Strong ball-winning activity']",['No clear major weakness from selected indicators'],"Pressing Player, Ball Winner, Balanced Role","99.9, 84.8, 82.2",79.41,8,8. Alfredo Kulembe Ribeiro | Right Center Midfield,Pressing Player | Important Player,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Bruno Lourenço Pinto de Almeida Paz,Left Center Midfield,60.0,28.0,1,17,14,Midfielder,Balanced Role,Balanced Offensive Role,Balanced Defensive Role,21.64,Low Usage / Limited Impact,['Balanced profile without one dominant strength'],['Low carry volume'],"Pressing Player, Ball Winner, Balanced Role","33.6, 25.2, 24.1",21.64,9,9. Bruno Lourenço Pinto de Almeida Paz | Left Center Midfield,Balanced Role | Low Usage / Limited Impact,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Zito André Sebastião Luvumbo,Right Center Forward,100.0,48.0,1,15,22,Forward,Pressing Player,Balanced Offensive Role,Pressing Specialist,47.66,Low Usage / Limited Impact,['High pressing activity'],['No clear major weakness from selected indicators'],"Pressing Player, Balanced Role, Progressive Carrier","92.5, 46.9, 45.9",47.66,10,10. Zito André Sebastião Luvumbo | Right Center Forward,Pressing Player | Low Usage / Limited Impact,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Jacinto Muondo Dala,Left Center Forward,100.0,32.0,1,10,24,Forward,Box Threat,Finisher / Shot Threat,Balanced Defensive Role,50.31,Rotation / Contributor,['High shot volume'],['No clear major weakness from selected indicators'],"Box Threat, Pressing Player, Balanced Role","87.0, 64.8, 49.1",50.31,11,11. Jacinto Muondo Dala | Left Center Forward,Box Threat | Rotation / Contributor,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,Kouakou Herve Koffi,Goalkeeper,8.0,40.0,1,16,1,Goalkeeper,Goalkeeper,Build-Up Goalkeeper,Goal Prevention,44.47,Low Usage / Limited Impact,['Active in recoveries'],"['Low passing accuracy', 'Low clearance activity', 'Limited shot-stopping event volume']","Ball Winner, Tempo Controller, Balanced Role","85.2, 53.0, 46.8",44.47,1,1. Kouakou Herve Koffi | Goalkeeper,Goalkeeper | Low Usage / Limited Impact,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,Adamo Nagalo,Right Back,28.0,68.0,1,4,2,Defender,Ball Winner,Balanced Offensive Role,Ball Winner,45.2,Low Usage / Limited Impact,['Strong ball-winning activity'],['No clear major weakness from selected indicators'],"Ball Winner, Pressing Player, Balanced Role","77.9, 68.8, 53.3",45.2,2,2. Adamo Nagalo | Right Back,Ball Winner | Low Usage / Limited Impact,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,Issoufou Dayo,Right Center Back,25.0,52.0,1,14,3,Defender,Balanced Role,Balanced Offensive Role,Balanced Defensive Role,37.35,Low Usage / Limited Impact,['Balanced profile without one dominant strength'],['No clear major weakness from selected indicators'],"Progressive Carrier, Tempo Controller, Ball Winner","52.4, 45.0, 34.7",37.35,3,3. Issoufou Dayo | Right Center Back,Balanced Role | Low Usage / Limited Impact,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,Edmond Fayçal Tapsoba,Left Center Back,25.0,28.0,1,12,5,Defender,Ball Winner,Balanced Offensive Role,Ball Winner,57.13,Rotation / Contributor,['Strong ball-winning activity'],['Low pressing activity'],"Ball Winner, Progressive Carrier, Tempo Controller","97.8, 79.6, 73.2",57.13,4,4. Edmond Fayçal Tapsoba | Left Center Back,Ball Winner | Rotation / Contributor,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,Steeve Yago,Left Back,28.0,12.0,1,25,6,Defender,Pressing Player,Balanced Offensive Role,Pressing Specialist,46.31,Low Usage / Limited Impact,"['High pressing activity', 'Strong ball-winning activity']",['No clear major weakness from selected indicators'],"Ball Winner, Pressing Player, Balanced Role","95.6, 83.1, 58.4",46.31,5,5. Steeve Yago | Left Back,Pressing Player | Low Usage / Limited Impact,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,Adama Guira,Right Defensive Midfield,45.0,52.0,1,24,9,Midfielder,Balanced Role,Balanced Offensive Role,Balanced Defensive Role,28.6,Low Usage / Limited Impact,['Balanced profile without one dominant strength'],['No clear major weakness from selected indicators'],"Pressing Player, Balanced Role, Tempo Controller","64.8, 32.0, 25.8",28.6,6,6. Adama Guira | Right Defensive Midfield,Balanced Role | Low Usage / Limited Impact,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,Ibrahim Blati Touré,Left Defensive Midfield,45.0,28.0,1,22,11,Midfielder,Balanced Role,Balanced Offensive Role,Balanced Defensive Role,66.03,Important Player,['Balanced profile without one dominant strength'],['No clear major weakness from selected indicators'],"Ball Winner, Box Threat, Pressing Player","76.7, 69.9, 68.8",66.03,7,7. Ibrahim Blati Touré | Left Defensive Midfield,Balanced Role | Important Player,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,Gustavo Fabrice Sangaré,Center Attacking Midfield,78.0,40.0,1,20,18,Midfielder,Pressing Player,Balanced Offensive Role,Pressing Specialist,54.78,Rotation / Contributor,['High pressing activity'],['No clear major weakness from selected indicators'],"Pressing Player, Ball Winner, Balanced Role","88.1, 71.3, 58.8",54.78,8,8. Gustavo Fabrice Sangaré | Center Attacking Midfield,Pressing Player | Rotation / Contributor,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,Issa Kabore,Right Wing,88.0,68.0,1,9,20,Forward,Balanced Role,Balanced Offensive Role,Balanced Defensive Role,56.84,Rotation / Contributor,['Balanced profile without one dominant strength'],['No clear major weakness from selected indicators'],"Pressing Player, Ball Winner, Progressive Carrier","68.8, 67.3, 66.1",56.84,9,9. Issa Kabore | Right Wing,Balanced Role | Rotation / Contributor,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,Abdoul Fessal Tapsoba,Left Wing,88.0,12.0,1,15,21,Forward,Balanced Role,Balanced Offensive Role,Balanced Defensive Role,42.41,Low Usage / Limited Impact,['Balanced profile without one dominant strength'],['Low carry volume'],"Box Threat, Pressing Player, Balanced Role","67.3, 64.8, 44.9",42.41,10,10. Abdoul Fessal Tapsoba | Left Wing,Balanced Role | Low Usage / Limited Impact,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Burkina Faso,Mohamed Konaté,Center Forward,105.0,40.0,1,13,23,Forward,Box Threat,Finisher / Shot Threat,Pressing Specialist,46.73,Low Usage / Limited Impact,"['Strong xG generation', 'High shot volume', 'High pressing activity']","['Low passing involvement', 'Low carry volume']","Box Threat, Pressing Player, Balanced Role","95.9, 83.1, 50.8",46.73,11,11. Mohamed Konaté | Center Forward,Box Threat | Low Usage / Limited Impact,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,André Onana,Goalkeeper,8.0,40.0,1,24,1,Goalkeeper,Goalkeeper,Build-Up Goalkeeper,Goal Prevention,47.59,Low Usage / Limited Impact,['Balanced goalkeeper profile'],"['Low clearance activity', 'Limited shot-stopping event volume']","Tempo Controller, Progressive Carrier, Ball Winner","59.5, 52.4, 45.7",47.59,1,1. André Onana | Goalkeeper,Goalkeeper | Low Usage / Limited Impact,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,Enzo Gianni Tchato Mbiayi,Right Back,28.0,68.0,1,26,2,Defender,Balanced Role,Balanced Offensive Role,Balanced Defensive Role,53.92,Rotation / Contributor,['Balanced profile without one dominant strength'],['Limited ball-winning activity'],"Pressing Player, Tempo Controller, Progressive Carrier","79.2, 65.1, 61.6",53.92,2,2. Enzo Gianni Tchato Mbiayi | Right Back,Balanced Role | Rotation / Contributor,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,Christopher Wooh,Right Center Back,25.0,52.0,1,4,3,Defender,Tempo Controller,High-Volume Passer,Defensive Contributor,74.33,Important Player,"['High passing involvement', 'Strong passing accuracy', 'High carry volume']",['No clear major weakness from selected indicators'],"Progressive Carrier, Tempo Controller, Pressing Player","94.5, 91.1, 79.2",74.33,3,3. Christopher Wooh | Right Center Back,Tempo Controller | Important Player,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,Jean-Charles Castelletto,Left Center Back,25.0,28.0,1,21,5,Defender,Tempo Controller,High-Volume Passer,Ball Winner,82.29,Key Player,"['High passing involvement', 'High carry volume', 'Strong ball-winning activity']",['No clear major weakness from selected indicators'],"Progressive Carrier, Tempo Controller, Ball Winner","95.4, 87.3, 81.1",82.29,4,4. Jean-Charles Castelletto | Left Center Back,Tempo Controller | Key Player,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,Nouhou Tolo,Left Back,28.0,12.0,1,5,6,Defender,Ball Winner,Balanced Offensive Role,Ball Winner,70.93,Important Player,['Strong ball-winning activity'],['No clear major weakness from selected indicators'],"Ball Winner, Balanced Role, Progressive Carrier","91.4, 74.2, 69.4",70.93,5,5. Nouhou Tolo | Left Back,Ball Winner | Important Player,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,Yvan Neyou Noupa,Center Defensive Midfield,45.0,40.0,1,17,10,Midfielder,Tempo Controller,High-Volume Passer,Balanced Defensive Role,64.18,Rotation / Contributor,"['High passing involvement', 'High carry volume']",['No clear major weakness from selected indicators'],"Progressive Carrier, Tempo Controller, Pressing Player","86.8, 80.4, 75.7",64.18,6,6. Yvan Neyou Noupa | Center Defensive Midfield,Tempo Controller | Rotation / Contributor,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,Olivier Michel Kemen,Right Center Midfield,60.0,52.0,1,6,12,Midfielder,Pressing Player,Balanced Offensive Role,Pressing Specialist,67.04,Important Player,['High pressing activity'],['No clear major weakness from selected indicators'],"Pressing Player, Progressive Carrier, Balanced Role","93.6, 66.1, 63.2",67.04,7,7. Olivier Michel Kemen | Right Center Midfield,Pressing Player | Important Player,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,André-Frank Zambo Anguissa,Left Center Midfield,60.0,28.0,1,8,14,Midfielder,Tempo Controller,High-Volume Passer,Pressing Specialist,78.41,Important Player,"['High passing involvement', 'Strong passing accuracy', 'High carry volume', 'High pressing activity', 'Strong ball-winning activity']",['No clear major weakness from selected indicators'],"Pressing Player, Progressive Carrier, Tempo Controller","97.1, 96.6, 88.4",78.41,8,8. André-Frank Zambo Anguissa | Left Center Midfield,Tempo Controller | Important Player,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,Nicolas Moumi Ngamaleu,Right Midfield,62.0,66.0,1,3,15,Midfielder,Ball Winner,Balanced Offensive Role,Ball Winner,56.21,Rotation / Contributor,['Strong ball-winning activity'],['No clear major weakness from selected indicators'],"Ball Winner, Balanced Role, Box Threat","88.4, 63.5, 61.3",56.21,9,9. Nicolas Moumi Ngamaleu | Right Midfield,Ball Winner | Rotation / Contributor,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,Georges-Kévin Nkoudou Mbida,Left Midfield,62.0,14.0,1,11,16,Midfielder,Balanced Role,Balanced Offensive Role,Balanced Defensive Role,72.93,Important Player,['Balanced profile without one dominant strength'],['No clear major weakness from selected indicators'],"Pressing Player, Progressive Carrier, Box Threat","79.2, 77.6, 73.6",72.93,10,10. Georges-Kévin Nkoudou Mbida | Left Midfield,Balanced Role | Important Player,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cameroon,Frank Magri,Center Forward,105.0,40.0,1,9,23,Forward,Pressing Player,Balanced Offensive Role,Pressing Specialist,41.73,Low Usage / Limited Impact,['High pressing activity'],['No clear major weakness from selected indicators'],"Pressing Player, Balanced Role, Progressive Carrier","97.8, 39.6, 29.4",41.73,11,11. Frank Magri | Center Forward,Pressing Player | Low Usage / Limited Impact,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cape Verde Islands,Josimar José Évora Dias,Goalkeeper,8.0,40.0,3,1,1,Goalkeeper,Goalkeeper,Build-Up Goalkeeper,Goal Prevention,52.46,Rotation / Contributor,['Active in recoveries'],"['Low clearance activity', 'Limited shot-stopping event volume']","Tempo Controller, Ball Winner, Progressive Carrier","62.4, 56.3, 54.0",52.46,1,1. Josimar José Évora Dias | Goalkeeper,Goalkeeper | Rotation / Contributor,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cape Verde Islands,Steven Moreira,Right Back,28.0,68.0,2,23,2,Defender,Balanced Role,Balanced Offensive Role,Balanced Defensive Role,63.4,Rotation / Contributor,['Balanced profile without one dominant strength'],['No clear major weakness from selected indicators'],"Ball Winner, Tempo Controller, Pressing Player","76.0, 75.7, 75.7",63.4,2,2. Steven Moreira | Right Back,Balanced Role | Rotation / Contributor,66.67
African Cup of Nations,2023,AFCON,AFCON_2023,Cape Verde Islands,Logan Costa,Right Center Back,25.0,52.0,3,5,3,Defender,Tempo Controller,High-Volume Passer,Ball Winner,68.09,Important Player,"['High passing involvement', 'High carry volume', 'Strong ball-winning activity']",['No clear major weakness from selected indicators'],"Progressive Carrier, Tempo Controller, Ball Winner","89.4, 85.3, 80.3",68.09,3,3. Logan Costa | Right Center Back,Tempo Controller | Important Player,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cape Verde Islands,Roberto Lopes,Left Center Back,25.0,28.0,2,4,5,Defender,Tempo Controller,High-Volume Passer,Defensive Contributor,66.0,Important Player,"['High passing involvement', 'High carry volume']",['No clear major weakness from selected indicators'],"Progressive Carrier, Tempo Controller, Balanced Role","85.7, 82.3, 58.1",66.0,4,4. Roberto Lopes | Left Center Back,Tempo Controller | Important Player,66.67
African Cup of Nations,2023,AFCON,AFCON_2023,Cape Verde Islands,João Paulo Moreira Fernandes,Left Back,28.0,12.0,2,8,6,Defender,Ball Winner,Balanced Offensive Role,Ball Winner,68.55,Important Player,['Strong ball-winning activity'],['No clear major weakness from selected indicators'],"Ball Winner, Progressive Carrier, Tempo Controller","90.2, 75.3, 75.3",68.55,5,5. João Paulo Moreira Fernandes | Left Back,Ball Winner | Important Player,66.67
African Cup of Nations,2023,AFCON,AFCON_2023,Cape Verde Islands,Kevin Lenini Gonçalves Pereira de Pina,Center Defensive Midfield,45.0,40.0,3,26,10,Midfielder,Balanced Role,Finisher / Shot Threat,Balanced Defensive Role,71.82,Important Player,"['High shot volume', 'Strong passing accuracy']",['No clear major weakness from selected indicators'],"Box Threat, Ball Winner, Balanced Role","74.8, 73.6, 72.8",71.82,6,6. Kevin Lenini Gonçalves Pereira de Pina | Center Defensive Midfield,Balanced Role | Important Player,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,Cape Verde Islands,Kenny Rocha Santos,Right Center Midfield,60.0,52.0,2,18,12,Midfielder,Pressing Player,Balanced Offensive Role,Pressing Specialist,73.45,Important Player,['High pressing activity'],['No clear major weakness from selected indicators'],"Pressing Player, Progressive Carrier, Balanced Role","86.3, 74.0, 72.3",73.45,7,7. Kenny Rocha Santos | Right Center Midfield,Pressing Player | Important Player,66.67
African Cup of Nations,2023,AFCON,AFCON_2023,Cape Verde Islands,Jamiro Gregory Monteiro Alvarenga,Left Center Midfield,60.0,28.0,2,10,14,Midfielder,Balanced Role,Finisher / Shot Threat,Balanced Defensive Role,71.39,Important Player,['Strong xG generation'],['No clear major weakness from selected indicators'],"Pressing Player, Box Threat, Progressive Carrier","77.6, 76.6, 73.5",71.39,8,8. Jamiro Gregory Monteiro Alvarenga | Left Center Midfield,Balanced Role | Important Player,66.67
African Cup of Nations,2023,AFCON,AFCON_2023,Cape Verde Islands,Garry Mendes Rodrigues,Left Midfield,62.0,14.0,1,11,16,Midfielder,Box Threat,Finisher / Shot Threat,Balanced Defensive Role,51.81,Rotation / Contributor,"['Strong xG generation', 'High shot volume']",['No clear major weakness from selected indicators'],"Box Threat, Pressing Player, Balanced Role","93.1, 68.8, 52.5",51.81,9,9. Garry Mendes Rodrigues | Left Midfield,Box Threat | Rotation / Contributor,33.33
African Cup of Nations,2023,AFCON,AFCON_2023,Cape Verde Islands,Ryan Isaac Mendes da Graça,Right Wing,88.0,68.0,2,20,20,Forward,Balanced Role,Balanced Offensive Role,Balanced Defensive Role,55.96,Rotation / Contributor,['Balanced profile without one dominant strength'],['No clear major weakness from selected indicators'],"Progressive Carrier, Ball Winner, Balanced Role","70.4, 59.1, 54.5",55.96,10,10. Ryan Isaac Mendes da Graça | Right Wing,Balanced Role | Rotation / Contributor,66.67
African Cup of Nations,2023,AFCON,AFCON_2023,Cape Verde Islands,Jovane Eduardo Borges Cabral,Center Forward,105.0,40.0,1,7,23,Forward,Box Threat,Finisher / Shot Threat,Pressing Specialist,75.02,Important Player,"['Strong xG generation', 'High shot volume', 'High pressing activity']",['No clear major weakness from selected indicators'],"Box Threat, Pressing Player, Ball Winner","92.8, 89.8, 78.2",75.02,11,11. Jovane Eduardo Borges Cabral | Center Forward,Box Threat | Important Player,33.33
African Cup of Nations,2023,AFCON,AFCON_2023,Congo DR,Lionel Mpasi-Nzau,Goalkeeper,8.0,40.0,6,1,1,Goalkeeper,Goalkeeper,Build-Up Goalkeeper,Goal Prevention,42.38,Low Usage / Limited Impact,['Active in recoveries'],"['Low clearance activity', 'Limited shot-stopping event volume']","Ball Winner, Box Threat, Tempo Controller","52.9, 51.1, 50.6",42.38,1,1. Lionel Mpasi-Nzau | Goalkeeper,Goalkeeper | Low Usage / Limited Impact,85.71
African Cup of Nations,2023,AFCON,AFCON_2023,Congo DR,Gedeon Kalulu Kyatengwa,Right Back,28.0,68.0,6,24,2,Defender,Pressing Player,High-Volume Passer,Pressing Specialist,75.69,Important Player,"['High passing involvement', 'High pressing activity', 'Strong ball-winning activity']",['No clear major weakness from selected indicators'],"Pressing Player, Ball Winner, Balanced Role","84.4, 81.6, 76.6",75.69,2,2. Gedeon Kalulu Kyatengwa | Right Back,Pressing Player | Important Player,85.71
African Cup of Nations,2023,AFCON,AFCON_2023,Congo DR,Chancel Mbemba Mangulu,Right Center Back,25.0,52.0,7,22,3,Defender,Tempo Controller,Finisher / Shot Threat,Balanced Defensive Role,76.53,Important Player,"['Strong xG generation', 'High passing involvement', 'High carry volume']",['No clear major weakness from selected indicators'],"Progressive Carrier, Tempo Controller, Box Threat","87.9, 81.9, 80.4",76.53,3,3. Chancel Mbemba Mangulu | Right Center Back,Tempo Controller | Important Player,100.0
